HOGAN L A,Dan Luna,4.0,3.1,880,145,2009,2024,880,0,4.5,INT,MUS,,,,,,
SHEPARD T J,Doug Thrower,3.990901,3.5,2198,92,2009,2019,2194,4,3.8,ES,,,,,,,
SCALZO J N,Javier Birchenall,3.988442,3.7,2189,110,2009,2023,0,2189,2.4,ED,,,,,,,
LENIHAN H S,Dawn Holmes,3.983193,3.6,714,148,2009,2024,0,714,3.8,EEMB,ESM,,,,,,
CHECKETTS A W,Aaron Belkin,3.981921,3.1,885,89,2011,2024,885,0,4.2,ES,,,,,,,
HARLOW D B,Dolly Mullin,3.974265,3.5,1259,351,2009,2024,11,1248,4.1,ED,INT,,,,,,
BALLERINO J M,Javier Birchenall,3.957756,3.7,606,110,2009,2023,0,606,2.4,INT,MUS,,,,,,
DOLAN P H,Scott Price,3.955923,3.4,726,364,2011,2018,720,6,4.6,ES,,,,,,,
DOMINGUEZ-WHI,Alvio Dominguez,3.953824,2.5,693,167,2020,2023,693,0,4.6,INT,,,,,,,
WHITAKER D R,Dolly Mullin,3.95239,3.5,1088,351,2015,2024,0,1088,4.1,ED,,,,,,,
FEDDERS A,Aaron Belkin,3.94498,3.1,996,89,2011,2024,0,996,4.2,CNCSP,ED,,,,,,
BUEHNER T D,Doug Thrower,3.942543,3.5,1502,92,2017,2021,7,1495,3.8,MS,,,,,,,
HAWKES E W,Ellen McCracken,3.93841,4.2,742,56,2017,2024,1,741,1.5,ME,,,,,,,
KUZIN M,Dolly Mullin,3.937529,3.5,874,351,2018,2024,0,874,4.1,MUS,,,,,,,
DURAN R P,Jane Duran,3.928943,2.3,1116,23,2009,2023,0,1116,3.8,ED,,,,,,,
GAINES S,Stanley Klein,3.928606,2.6,1248,203,2010,2024,0,1248,4.3,EEMB,ENV,ESM,MARSC,,,,
BENJAMIN R,Ben Reese,3.927528,5.0,890,33,2016,2024,81,809,3.0,C,ENV,INT,W&L,,,,
TAGUE C L,Christopher McAuley,3.927307,2.5,1051,72,2010,2019,0,1051,4.4,ESM,,,,,,,
DEHERAS D J,Dolly Mullin,3.919406,3.5,943,351,2009,2020,942,1,4.1,ES,,,,,,,
SCHAUPETER B,John Baldwin,3.913097,3.3,1611,352,2011,2020,1611,0,3.7,ES,,,,,,,
RUDNICKI S,Scott Price,3.911646,3.4,644,364,2010,2019,0,644,4.6,MUS,,,,,,,
LIBECAP G D,Ralph Gallucci,3.909477,1.9,612,243,2009,2018,0,612,4.1,ECON,ESM,,,,,,
LEVAILLANT C,Claire Levaillant,3.902693,2.3,854,27,2011,2014,0,854,2.7,MATH,,,,,,,
GEYER R,Robert (Bob) Kennedy,3.891474,3.8,1208,159,2009,2024,0,1208,5.0,ESM,,,,,,,
HOLMS A E,Ann Holms,3.890659,1.6,835,38,2009,2017,0,835,4.0,ENGR,WRIT,,,,,,
BUNTAINE M T,Dolly Mullin,3.864172,3.5,628,351,2014,2024,0,628,4.1,ESM,POL,,,,,,
FIELDS K,Robert (Bob) Kennedy,3.860899,3.8,1046,159,2013,2024,592,454,5.0,ME,,,,,,,
MEUNIER M M,Dolly Mullin,3.860443,3.5,632,351,2017,2024,0,632,4.1,DANCE,,,,,,,
HORST A M,Alan Fridlund,3.849608,3.1,1532,492,2013,2022,0,1532,4.1,EDS,ESM,,,,,,
STEVENSON-MIC,Mark Stevenson,3.84743,4.2,681,303,2018,2024,0,681,2.1,EDS,ESM,,,,,,
CLARKE C S,Keith Clarke,3.845449,2.6,1527,33,2011,2016,1527,0,3.4,ES,,,,,,,
BADULESCU M,Dolly Mullin,3.838292,3.5,3092,351,2009,2017,3088,4,4.1,ES,,,,,,,
WHITAKER T O,Doug Thrower,3.823966,3.5,1185,92,2009,2019,0,1185,3.8,THTR,,,,,,,
FORAN J F,John Foran,3.822767,2.5,4300,45,2010,2023,231,4069,5.0,ENV,INT,SOC,,,,,
TORSIGLIERI A,Aaron Belkin,3.820397,3.1,755,89,2009,2024,0,755,4.2,THTR,,,,,,,
RAYFIELD T J,Doug Thrower,3.818373,3.5,713,92,2015,2017,5,708,3.8,MS,,,,,,,
FELBER J,Javier Birchenall,3.817631,3.7,1106,110,2009,2024,635,471,2.4,INT,MUS,,,,,,
ADLER-KASSNER,Peter Adler,3.816129,2.6,961,239,2010,2021,459,502,4.8,ED,INT,WRIT,,,,,
BRUICE A M,Paula Bruice,3.800723,3.9,830,221,2010,2021,0,830,2.9,THTR,,,,,,,
ALLAIN T S,Doug Thrower,3.800608,3.5,1645,92,2009,2019,1645,0,3.8,ES,,,,,,,
MACKER E A,Teddy Macker,3.796361,2.6,632,40,2009,2019,480,152,4.1,LIT,W&L,WRIT,,,,,
LEE J S,John Lee,3.794607,3.3,1094,103,2009,2024,32,1062,5.0,ED,INT,,,,,,
FREW J E,Javier Birchenall,3.793855,3.7,1188,110,2009,2022,63,1125,2.4,EDS,ESM,INT,,,,,
HOLDEN P A,Thomas Holden,3.79112,3.4,777,46,2010,2024,0,777,5.0,ESM,,,,,,,
GOUGH J D,Javier Birchenall,3.789606,3.7,1193,110,2009,2020,677,516,2.4,LING,,,,,,,
CARLYLE A M,Aaron Belkin,3.78008,3.1,1004,89,2010,2022,0,1004,4.2,ED,,,,,,,
WADE E R,Evelyn Wade,3.77482,1.6,1251,54,2010,2014,0,1251,5.0,GER,,,,,,,
ERICSON M J,Dan Montello,3.761006,3.6,636,154,2017,2019,636,0,3.1,ES,,,,,,,
ANDERSON S,Stan Anderson,3.760165,3.0,1579,39,2010,2024,0,1579,3.5,ESM,POL,,,,,,
RALEY J D,Jason Raley,3.759535,2.4,2669,30,2009,2017,23,2646,4.4,ED,INT,,,,,,
