Name,RMP_name,GPA,Difficulty,Students,RMP_Ratings,First,Last,Years,PNP,Letter,RMP_rating,Departments,,,,,,
STRATHMAN B A, Brent Strathman,2.902888,4.3,5402,90,2015,2024,9,0,5402,3.3,POL,,,,,,
ETTENBERG A,Aaron Ettenberg,2.540489,3.6,2823,36,2010,2020,10,57,2766,4.6,PSY,,,,,,
ZIMMERMAN A Z,Aaron Zimmerman,2.961008,2.8,4783,113,2010,2024,14,0,4783,4,INT,PHIL,,,,,
MEHTA A S,Aashish Mehta,2.992794,3.9,2928,34,2010,2024,14,0,2928,4.1,GLOBL,,,,,,
AGBOOLA A,Adebisi Agboola,3.015297,3.6,2373,80,2010,2024,14,31,2342,2.1,MATH,,,,,,
YAQUB A M,Adil Yaqub,3.006283,2.3,1512,52,2010,2016,6,0,1512,3,MATH,,,,,,
EDGAR A L,Adrienne Edgar,3.203091,2.9,2265,26,2010,2023,13,0,2265,3.3,HIST,,,,,,
FERRER A J,Al Ferrer,2.890849,3,601,27,2009,2016,7,0,601,3.9,ESS,,,,,,
FRIDLUND A J,Alan Fridlund,2.507125,3.1,23467,492,2009,2024,15,2,23465,4.1,PSY,,,,,,
LIU A Y,Alan Liu,3.11042,4.1,1286,32,2009,2024,15,0,1286,2.6,ENGL,,,,,,
CIMINO A N,Aldo Cimino,2.811864,2.3,1416,25,2011,2019,8,0,1416,4.8,ANTH,,,,,,
SIMMS A R,Alex Simms,3.16889,2.4,2774,63,2011,2024,13,190,2584,4.3,EARTH,INT,,,,,
WROBEL A J,Alex Wrobel,2.979236,2.4,2933,43,2018,2024,6,14,2919,5,EARTH,,,,,,
CHRONOPOULOU,Alexandra Chronopoulou,2.727387,3.4,1110,32,2011,2013,2,0,1110,2.8,PSTAT,,,,,,
NGUYEN A T,Alice Nguyen,2.970423,4,45866,70,2012,2024,12,54,45812,1.1,EEMB,MCDB,,,,,
AMIHAY O,Alice O'Connor,3.639803,3.4,711,52,2016,2021,5,0,711,3.9,C,HEB,RG,,,,
CAST A D,Alicia Cast,3.227568,2.6,3573,33,2011,2024,13,1,3572,4.7,SOC,,,,,,
TAZHITDINOVA,Alisa Tazhitdinova,3.028849,3.2,2364,29,2018,2024,6,0,2364,2.4,ECON,,,,,,
SLADE A M,Allison Slade,3.281392,3.4,4439,30,2017,2023,6,0,4439,3,ESS,,,,,,
DOMINGUEZ-WHI,Alvio Dominguez,3.953824,2.5,693,167,2020,2023,3,693,0,4.6,INT,,,,,,
STANSELL A,Amanda Stansell,3.463648,2.4,2352,56,2010,2024,14,1,2351,4.4,W&L,WRIT,,,,,
SINGH A K,Ambuj Singh,3.344665,3.7,1359,26,2009,2024,15,1,1358,2.5,CMPSC,PSTAT,,,,,
SHILO A,Amit Shilo,3.252976,2.6,4351,41,2014,2024,10,0,4351,3.1,CLASS,GREEK,,,,,
EL ABBADI A,Amr El Abbadi,3.282359,3.1,1831,31,2010,2023,13,0,1831,4.3,CMPSC,ECE,INT,,,,
GONZALES A L,Amy Gonzales,3.107463,3.5,2278,31,2019,2024,5,48,2230,2.6,COMM,INT,,,,,
JAMIESON A E,Amy Jamieson,3.657137,2.2,29874,83,2009,2024,15,17465,12409,3.3,ES,ESS,INT,,,,
LASHMET A J,Amy Lashmet,3.549002,3.1,1002,36,2016,2024,8,211,791,3.5,LING,,,,,,
SMALL A L,Amy Small,3.70481,3.5,894,21,2016,2024,8,382,512,3.5,LING,,,,,,
WYSS A R,Andre Wyss,2.956607,3.2,2800,33,2009,2024,15,830,1970,3.5,EARTH,EEMB,GEOL,,,,
YOUNG A F,Andrea Young,2.994569,4.5,1068,37,2015,2024,9,1,1067,2.6,PHYS,,,,,,
CARTER A V,Andrew Carter,3.075964,3,3137,68,2010,2024,14,137,3000,3.1,PSTAT,PSTATW,,,,,
FLANAGIN A J,Andrew Flanagin,2.682154,4,3110,134,2010,2024,14,2,3108,3.6,COMM,,,,,,
GRIFFIN A R,Andrew Griffin,3.435444,2.6,3411,52,2010,2023,13,0,3411,4,ENGL,,,,,,
MEROLLA A J,Andy Merolla,3.188676,2.7,3541,53,2016,2024,8,3,3538,4.9,COMM,,,,,,
JAYICH ANIA,Ania Jayich,2.750131,4.1,1143,36,2017,2023,6,2,1141,2.1,PHYS,,,,,,
ADAMS A J,Ann Adams,3.373382,3.2,1221,38,2009,2023,14,146,1075,3.8,ARTHI,INT,,,,,
HOLMS A E,Ann Holms,3.890659,1.6,835,38,2009,2017,8,0,835,4,ENGR,WRIT,,,,,
PLANE A M,Ann Plane,2.939067,3.1,1500,39,2009,2021,12,2,1498,3.3,C,HIST,,,,,
BRUSUTTI A,Anna Brusutti,2.992746,3,8092,164,2009,2024,15,0,8092,3.1,FAMST,FLMST,,,,,
BARBIERI-LOW,Anthony Barbieri-Low,2.953491,3.1,2492,44,2010,2019,9,0,2492,3.6,CHIN,EACS,HIST,,,,
ATHANASSAKIS,Apostolos Athanassakis,3.197566,1.6,1027,71,2010,2011,1,0,1027,4.4,CLASS,GREEK,,,,,
FRADENBURG L,Aranye Fradenburg,3.191576,3.2,1282,48,2009,2018,9,34,1248,3,C,ENGL,INT,LIT,,,
KURIS A M,Armand Kuris,3.194509,3.7,3642,34,2009,2024,15,325,3317,4.3,BIOL,EEMB,INT,,,,
GILBERT A R,Art Gilbert,2.598006,3.2,6370,97,2009,2013,4,44,6326,3.9,ES,ESS,,,,,
